,Model,Precision,Recall,F1 Score,Accuracy
Decision Tree,Decision Tree,1.0,0.9852941176470589,0.9925925925925926,0.997
Random Forest,Random Forest,0.9975429975429976,0.9950980392156863,0.996319018404908,0.9985
Logistic Regression,Logistic Regression,0.9975429975429976,0.9950980392156863,0.996319018404908,0.9985
XGBoost,XGBoost,0.9975369458128078,0.9926470588235294,0.995085995085995,0.998
