,Accuracy,Precision,Recall,F1 Score,ROC AUC,Best Threshold
Random Forest,0.9325,0.32663316582914576,0.9848484848484849,0.49056603773584906,0.9601939769985272,0.25
XGBoost,0.9435,0.3356643356643357,0.7272727272727273,0.45933014354066987,0.9634295384036853,0.15
KNN,0.946,0.3333333333333333,0.6363636363636364,0.4375,0.8649525242079534,0.65
Decision Tree,0.938,0.29577464788732394,0.6363636363636364,0.40384615384615385,0.7914786437278681,0.1
Logistic Regression,0.943,0.30327868852459017,0.5606060606060606,0.39361702127659576,0.9442355300680016,0.85
